City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,62.1,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
4,Bhimunipatnam,IN,67.51,clear sky,17.8833,83.4333,Bheemili Court
5,Bredasdorp,ZA,65.28,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
7,Mega,ET,64.38,scattered clouds,4.05,38.3,Amanuel Guest House
13,Kaitangata,NZ,60.93,clear sky,-46.2817,169.8464,Kaitangata Motor Camp
22,Cape Town,ZA,68.34,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
23,Cidreira,BR,69.21,overcast clouds,-30.1811,-50.2056,Hotel Castelo
26,Gat,IL,56.39,few clouds,31.61,34.7642,OlusHome
30,Hargeysa,SO,60.26,overcast clouds,9.56,44.065,City Center Hotel
31,Pangkalanbuun,ID,74.26,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
45,Castro,BR,66.65,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
46,Valparaiso,CL,69.44,few clouds,-33.0393,-71.6273,Hotel Ultramar
47,Saint George,US,72.07,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
50,Veraval,IN,66.52,clear sky,20.9,70.3667,Lords Inn Somnath
55,Victoria,HK,61.95,overcast clouds,22.2855,114.1577,Mini Hotel Central
57,San Patricio,US,66.61,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
58,Port Alfred,ZA,71.4,overcast clouds,-33.5906,26.891,The Halyards Hotel
60,Ahipara,NZ,67.37,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
61,Esperance,AU,62.29,scattered clouds,-33.8667,121.9,Hospitality Esperance
62,Ponta Do Sol,PT,64.06,overcast clouds,32.6667,-17.1,Hotel do Campo
63,Busselton,AU,62.04,clear sky,-33.65,115.3333,Observatory Guest House
68,Hobart,AU,62.46,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
