City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,62.1,69,94,2.37,overcast clouds
1,Labuan,MY,5.2767,115.2417,78.96,88,100,8.12,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.51,71,74,12.59,light rain
3,Shingu,JP,33.7333,135.9833,45.91,85,100,6.4,overcast clouds
4,Bhimunipatnam,IN,17.8833,83.4333,67.51,63,7,5.35,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,65.28,80,96,14.76,overcast clouds
6,Tchaourou,BJ,8.8865,2.5975,85.44,35,67,3.91,broken clouds
7,Mega,ET,4.05,38.3,64.38,32,50,6.49,scattered clouds
8,Port Hardy,CA,50.6996,-127.4199,49.75,65,100,5.79,overcast clouds
9,Margate,GB,51.3813,1.3862,49.96,88,100,11.01,light rain
10,Voh,NC,-20.9667,164.7,83.37,73,100,3.74,overcast clouds
11,Carnarvon,AU,-24.8667,113.6333,75.27,88,3,0.0,clear sky
12,Vaini,TO,-21.2,-175.2,80.71,75,88,19.06,overcast clouds
13,Kaitangata,NZ,-46.2817,169.8464,60.93,64,8,0.2,clear sky
14,Moyo,UG,3.6609,31.7247,77.49,33,100,2.91,overcast clouds
15,Beringovskiy,RU,63.05,179.3167,-24.93,96,16,7.09,few clouds
16,Albany,US,42.6001,-73.9662,25.09,52,100,3.0,overcast clouds
17,Ukiah,US,39.1502,-123.2078,79.12,26,0,4.61,clear sky
18,Palimbang,PH,6.2106,124.1894,76.6,80,100,4.05,overcast clouds
19,Ushuaia,AR,-54.8,-68.3,38.86,87,75,28.77,broken clouds
20,Avarua,CK,-21.2078,-159.775,80.65,78,75,2.3,light rain
21,Butaritari,KI,3.0707,172.7902,81.55,77,60,12.77,light rain
22,Cape Town,ZA,-33.9258,18.4232,68.34,83,8,7.0,clear sky
23,Cidreira,BR,-30.1811,-50.2056,69.21,93,100,1.88,overcast clouds
24,Bathsheba,BB,13.2167,-59.5167,79.41,69,20,17.27,few clouds
25,Hithadhoo,MV,-0.6,73.0833,82.22,72,83,11.03,broken clouds
26,Gat,IL,31.61,34.7642,56.39,81,11,2.48,few clouds
27,Punta Arenas,CL,-53.15,-70.9167,48.31,46,20,34.52,few clouds
28,Tongchuan,CN,35.0806,109.0897,31.87,68,17,5.48,few clouds
29,Yuci,CN,37.6803,112.7319,22.75,36,0,6.71,clear sky
30,Hargeysa,SO,9.56,44.065,60.26,72,90,7.81,overcast clouds
31,Pangkalanbuun,ID,-2.6833,111.6167,74.26,96,100,1.72,overcast clouds
32,Nalut,LY,30.3333,10.85,53.83,28,22,12.15,few clouds
33,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,88,20,16.11,few clouds
34,Visnes,NO,59.3556,5.2242,43.57,93,75,12.66,light rain
35,Jamestown,US,42.097,-79.2353,20.52,39,100,6.91,overcast clouds
36,Chokurdakh,RU,70.6333,147.9167,-6.77,93,100,9.31,overcast clouds
37,Manali,IN,13.1667,80.2667,79.07,80,7,6.91,clear sky
38,Torbay,CA,47.6666,-52.7314,37.58,70,98,1.99,overcast clouds
39,Guerrero Negro,MX,27.9769,-114.0611,82.27,18,15,6.87,few clouds
40,Glendive,US,47.1053,-104.7125,48.83,38,0,24.16,clear sky
41,Puerto Ayora,EC,-0.7393,-90.3518,82.36,89,90,1.01,overcast clouds
42,Upernavik,GL,72.7868,-56.1549,-5.93,97,100,13.91,overcast clouds
43,Noshiro,JP,40.2039,140.0242,25.74,82,52,4.56,broken clouds
44,Kazanskaya,RU,45.4106,40.4361,31.89,73,0,8.68,clear sky
45,Castro,BR,-24.7911,-50.0119,66.65,92,35,5.44,scattered clouds
46,Valparaiso,CL,-33.0393,-71.6273,69.44,71,20,11.5,few clouds
47,Saint George,US,37.1041,-113.5841,72.07,14,0,1.99,clear sky
48,Longyan,CN,25.1072,117.0225,50.72,96,100,4.05,overcast clouds
49,Wagrowiec,PL,52.8084,17.1996,36.32,74,20,12.66,few clouds
