City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vikindu,TZ,2022-02-13 04:44:42,-7.0067,39.2985,74.84,94,75,0.0
1,Kavieng,PG,2022-02-13 04:44:42,-2.5744,150.7967,82.63,74,99,5.17
2,Cabo San Lucas,MX,2022-02-13 04:41:52,22.8909,-109.9124,70.52,66,63,5.75
3,Campbell River,CA,2022-02-13 04:44:43,50.0163,-125.2446,38.44,100,75,3.44
4,Hami,CN,2022-02-13 04:44:43,42.8,93.45,30.13,52,96,4.03
5,Butaritari,KI,2022-02-13 04:44:44,3.0707,172.7902,82.36,75,100,12.57
6,Chokurdakh,RU,2022-02-13 04:44:44,70.6333,147.9167,-1.91,94,100,11.68
7,Vaini,TO,2022-02-13 04:44:45,-21.2,-175.2,86.16,79,40,11.5
8,Punta Arenas,CL,2022-02-13 04:41:48,-53.15,-70.9167,55.51,62,0,12.66
9,Ushuaia,AR,2022-02-13 04:42:51,-54.8,-68.3,44.26,70,100,3.44
10,Zhangye,CN,2022-02-13 04:44:45,38.9342,100.4517,30.16,52,100,5.23
11,Tyumentsevo,RU,2022-02-13 04:44:46,53.3224,81.498,19.26,94,100,13.89
12,Placer,US,2022-02-13 04:44:46,39.0666,-120.7677,53.22,48,0,7.29
13,Albany,US,2022-02-13 04:43:52,42.6001,-73.9662,30.15,69,98,8.41
14,Fez,MA,2022-02-13 04:44:47,34.0372,-4.9998,42.91,69,0,4.61
15,Nikolsk,RU,2022-02-13 04:44:47,53.7189,46.0712,11.44,96,99,9.15
16,Pangnirtung,CA,2022-02-13 04:44:48,66.1451,-65.7125,-23.89,99,100,2.39
17,Fairbanks,US,2022-02-13 04:42:49,64.8378,-147.7164,7.83,76,100,0.0
18,Kapaa,US,2022-02-13 04:44:48,22.0752,-159.319,78.78,76,40,14.97
19,Rikitea,PF,2022-02-13 04:41:47,-23.1203,-134.9692,79.16,69,0,17.29
20,Bluff,NZ,2022-02-13 04:44:16,-46.6,168.3333,52.81,76,99,13.73
21,Teguldet,RU,2022-02-13 04:44:49,57.3064,88.1667,4.57,82,6,10.65
22,Kodiak,US,2022-02-13 04:44:50,57.79,-152.4072,36.91,75,100,0.0
23,Sao Jose Da Coroa Grande,BR,2022-02-13 04:44:51,-8.8978,-35.1478,78.06,84,4,8.08
24,Blagoyevo,RU,2022-02-13 04:44:51,63.3667,47.9167,0.84,99,92,3.49
25,Avarua,CK,2022-02-13 04:44:52,-21.2078,-159.775,84.25,70,75,3.44
26,Northam,GB,2022-02-13 04:44:52,51.0333,-4.2167,50.02,92,100,26.4
27,Qaanaaq,GL,2022-02-13 04:44:53,77.484,-69.3632,-18.87,48,0,8.77
28,Hermanus,ZA,2022-02-13 04:44:13,-34.4187,19.2345,65.89,80,66,5.61
29,Fandriana,MG,2022-02-13 04:44:53,-20.2333,47.3833,64.58,76,72,1.83
30,Isangel,VU,2022-02-13 04:44:54,-19.55,169.2667,86.11,79,75,4.61
31,Ujiie,JP,2022-02-13 04:44:54,36.6833,139.9667,41.25,45,100,0.96
32,Punta,PH,2022-02-13 04:44:55,8.9897,125.34,85.89,64,100,3.33
33,Manta,EC,2022-02-13 04:44:55,-0.95,-80.7333,74.98,88,20,2.3
34,New Norfolk,AU,2022-02-13 04:44:56,-42.7826,147.0587,77.92,38,100,3.0
35,Barrow,US,2022-02-13 04:43:00,71.2906,-156.7887,-34.58,99,0,8.05
36,Pevek,RU,2022-02-13 04:44:57,69.7008,170.3133,-18.85,98,100,7.78
37,Vostok,RU,2022-02-13 04:44:57,46.4856,135.8833,10.65,88,100,4.34
38,Metro,ID,2022-02-13 04:44:58,-5.1131,105.3067,85.95,66,93,5.03
39,Hobart,AU,2022-02-13 04:44:58,-42.8794,147.3294,78.26,44,75,12.66
40,Damghan,IR,2022-02-13 04:44:59,36.1683,54.348,41.43,48,0,0.25
41,Bethel,US,2022-02-13 04:41:46,41.3712,-73.414,42.48,68,40,4.61
42,Mahebourg,MU,2022-02-13 04:44:59,-20.4081,57.7,83.25,83,40,11.5
43,Bandiagara,ML,2022-02-13 04:45:00,14.3501,-3.6104,64.02,16,0,11.43
44,Jalu,LY,2022-02-13 04:45:00,29.0331,21.5482,50.7,52,0,3.8
45,Cidreira,BR,2022-02-13 04:45:01,-30.1811,-50.2056,73.4,82,76,17.98
46,Bengkulu,ID,2022-02-13 04:45:01,-3.8004,102.2655,83.91,67,93,5.75
47,Hambantota,LK,2022-02-13 04:45:02,6.1241,81.1185,80.94,94,75,8.05
48,Bilma,NE,2022-02-13 04:45:02,18.6853,12.9164,58.64,19,0,9.13
49,Manaure,CO,2022-02-13 04:45:03,11.7751,-72.4445,77.16,77,18,17.81
50,Dhadar,IN,2022-02-13 04:45:03,28.3305,75.0632,68.97,22,0,6.6
51,Saint George,US,2022-02-13 04:45:04,37.1041,-113.5841,58.35,23,0,3.44
52,Srednekolymsk,RU,2022-02-13 04:45:04,67.45,153.6833,-19.73,91,92,5.91
53,Mineiros,BR,2022-02-13 04:42:21,-17.5694,-52.5511,67.5,94,37,2.91
54,Mataura,NZ,2022-02-13 04:45:05,-46.1927,168.8643,52.48,97,100,3.09
55,Smithers,CA,2022-02-13 04:43:56,54.7804,-127.1743,26.92,86,40,2.3
56,Yellowknife,CA,2022-02-13 04:45:05,62.456,-114.3525,-12.59,82,100,11.5
57,Tiksi,RU,2022-02-13 04:45:06,71.6872,128.8694,-5.8,86,100,14.74
58,Diego De Almagro,CL,2022-02-13 04:45:06,-26.3667,-70.05,61.47,57,0,1.05
59,Puerto Ayora,EC,2022-02-13 04:45:07,-0.7393,-90.3518,74.55,94,62,3.83
60,Saskylakh,RU,2022-02-13 04:44:14,71.9167,114.0833,-8.91,78,79,4.65
61,San Patricio,US,2022-02-13 04:45:07,28.017,-97.5169,48.06,55,0,12.91
62,Dikson,RU,2022-02-13 04:40:30,73.5069,80.5464,-4.83,90,100,24.9
63,Fortuna,US,2022-02-13 04:40:44,40.5982,-124.1573,50.67,94,0,6.91
64,Grindavik,IS,2022-02-13 04:45:08,63.8424,-22.4338,21.67,86,0,6.91
65,Busselton,AU,2022-02-13 04:45:09,-33.65,115.3333,83.08,36,0,2.98
66,Blantyre,MW,2022-02-13 04:45:09,-15.785,35.0085,65.91,91,100,2.08
67,Souillac,MU,2022-02-13 04:45:10,-20.5167,57.5167,83.35,83,40,11.5
68,Qasigiannguit,GL,2022-02-13 04:45:10,68.8193,-51.1922,12.45,96,100,5.35
69,Port Elizabeth,ZA,2022-02-13 04:45:11,-33.918,25.5701,71.89,83,100,18.41
